doe-users-provided,9700
doe-users-discovered,1800
doe-devices-provided,10500
doe-devices-discovered,30000
doi-users-provided,80000
doi-users-discovered,105000
doi-devices-provided,122261
doi-devices-discovered,320000
usda-users-provided,117000
usda-users-discovered,122000
usda-devices-provided,132900
usda-devices-discovered,213208
opm-users-provided,12802
opm-users-discovered,15000
opm-devices-provided,11138
opm-devices-discovered,35000
dot-users-provided,80000
dot-users-discovered,80000
dot-devices-provided,80312
dot-devices-discovered,141000
va-users-provided,424000
va-users-discovered,638000
va-devices-provided,750000
va-devices-discovered,775000
eop-users-provided,4000
eop-users-discovered,0
eop-devices-provided,6625
eop-devices-discovered,0