doe-usersprovided,9700
doe-usersdiscovered,1800
doe-devicesprovided,10500
doe-devicesdiscovered,30000
doi-usersprovided,80000
doi-usersdiscovered,105000
doi-devicesprovided,122261
doi-devicesdiscovered,320000
usda-usersprovided,117000
usda-usersdiscovered,122000
usda-devicesprovided,132900
usda-devicesdiscovered,213208
opm-usersprovided,12802
opm-usersdiscovered,15000
opm-devicesprovided,11138
opm-devicesdiscovered,35000
dot-usersprovided,80000
dot-usersdiscovered,80000
dot-devicesprovided,80312
dot-devicesdiscovered,141000
va-usersprovided,424000
va-usersdiscovered,638000
va-devicesprovided,750000
va-devicesdiscovered,775000
eop-usersprovided,4000
eop-usersdiscovered,0
eop-devicesprovided,6625
eop-devicesdiscovered,0